Beruf,Berufsgruppe,Konfidenz
Beizanst.,sonstige,auto
Beizer,sonstige,auto
Bekleidungsgesch.,sonstige,auto
Bekleidungshaus,sonstige,auto
Beleucht.-Artikel,sonstige,auto
Beleuchtungsinspekt.,sonstige,auto
Beleuchtungskörper,sonstige,auto
Beleuchtungskörper u. Seidenlampenschirme,sonstige,auto
Beleuchtungskörpergesch.,sonstige,auto
Benzolmstr.,sonstige,auto
Benzolwärt.,sonstige,auto
Berarb.,sonstige,auto
Berarbeit.,sonstige,auto
Bereiter,sonstige,auto
Berg Diplom Ingenieur,akademisch,auto
Berg-Ob. Sekretär a. D.,verwaltung,auto
Berg.,sonstige,auto
Bergarbeit.,sonstige,auto
Bergarbeiter,bergbau,auto
Bergass.,sonstige,auto
Bergassessor,bergbau,auto
Bergassessor a. D.,bergbau,auto
"Bergassessor, Bergwerks Direktor",bergbau,auto
Bergassist.,sonstige,auto
Bergb. Angestellter,verwaltung,auto
Bergb. Beamter,verwaltung,auto
Bergbauangest.,bergbau,auto
Bergbauangestellter,bergbau,auto
Bergbaubeamter,bergbau,auto
Bergbeamt.,sonstige,auto
Bergbeamter,sonstige,auto
Bergdirekt.,sonstige,auto
Berghauer,sonstige,auto
Berging.,sonstige,auto
Bergingen,sonstige,auto
Bergingenieur,bergbau,auto
Berginspekt.,sonstige,auto
Berginvalide,bergbau,auto
Bergm,sonstige,auto
Bergmann,bergbau,auto
Bergmann Verbauer,bergbau,auto
"Bergmann, Germaniastr",bergbau,auto
"Bergmann, Kat.",bergbau,auto
"Bergmann, Krayer Str. 156",bergbau,auto
"Bergmann, Mettenstr",bergbau,auto
"Bergmann, Ru",bergbau,auto
"Bergmann, Schroertal 14A",bergbau,auto
"Bergmann, Trichinenschauer",bergbau,auto
Bergmww.,sonstige,auto
